ts,dpid,port,rx_packets,tx_packets,rx_bytes,tx_bytes,rx_dropped,tx_dropped,rx_errors,tx_errors,rx_rate_bps,tx_rate_bps,rx_rate_mbps,tx_rate_mbps,drop_ps,err_ps
1762802788.6499543,2,2,104053,104161,8918152,8927976,1,0,0,0,1747006.7504433987,1749790.7484521281,1.7470067504433988,1.7497907484521282,0.0,0.0
1762802788.6499543,2,3,103988,104085,8912304,8920196,0,0,0,0,1753070.746106091,1746894.7505235071,1.753070746106091,1.746894750523507,0.0,0.0
1762802788.6499543,1,1,530,207239,46568,17764156,0,0,0,0,5695.995925906234,3487597.505475875,0.005695995925906234,3.487597505475875,0.0,0.0
1762802788.6499543,1,2,104161,104053,8927976,8918152,0,0,0,0,1749790.7484521281,1747006.7504433987,1.7497907484521282,1.7470067504433988,0.0,0.0
1762802788.6499543,1,3,103919,104145,8905978,8925848,0,0,0,0,1743806.7527322154,1747822.7498597503,1.7438067527322154,1.7478227498597503,0.0,0.0
1762802789.6499531,3,1,104145,103919,8925848,8905978,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802789.6499531,3,2,104085,103988,8920196,8912304,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802789.6499531,2,1,540,207260,47452,17765882,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802789.6499531,2,2,104053,104161,8918152,8927976,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802789.6499531,2,3,103988,104085,8912304,8920196,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802789.6499531,1,1,530,207239,46568,17764156,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802789.6499531,1,2,104161,104053,8927976,8918152,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802789.6499531,1,3,103919,104145,8905978,8925848,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802790.6499758,3,1,106704,106470,9144982,9124418,1,0,0,0,1753032.2942304725,1747480.4199791197,1.7530322942304726,1.7474804199791196,0.0,0.0
1762802790.6499758,3,2,106640,106542,9139106,9131058,1,0,0,0,1751240.3348179322,1749992.3630841987,1.7512403348179322,1.7499923630841987,0.0,0.0
1762802790.6499758,2,1,547,212358,48078,18202782,0,0,0,0,5007.886572545912,3495120.8363343594,0.005007886572545912,3.4951208363343595,0.0,0.0
1762802790.6499758,2,2,106607,106716,9136918,9146918,1,0,0,0,1750088.3609098706,1751496.3290197237,1.7500883609098705,1.7514963290197236,0.0,0.0
1762802790.6499758,2,3,106542,106640,9131058,9139106,0,0,0,0,1749992.3630841987,1751240.3348179322,1.7499923630841987,1.7512403348179322,0.0,0.0
1762802790.6499758,1,1,538,212337,47280,18200844,0,0,0,0,5695.870989860526,3493424.8747474905,0.005695870989860526,3.4934248747474905,0.0,0.0
1762802790.6499758,1,2,106716,106607,9146918,9136918,0,0,0,0,1751496.3290197237,1750088.3609098706,1.7514963290197236,1.7500883609098705,0.0,0.0
1762802790.6499758,1,3,106470,106704,9124418,9144982,0,0,0,0,1747480.4199791197,1753032.2942304725,1.7474804199791196,1.7530322942304726,0.0,0.0
1762802791.6500027,3,1,106704,106470,9144982,9124418,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802791.6500027,3,2,106640,106542,9139106,9131058,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802791.6500027,2,1,547,212358,48078,18202782,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802791.6500027,2,2,106607,106716,9136918,9146918,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802791.6500027,2,3,106542,106640,9131058,9139106,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802791.6500027,1,1,538,212337,47280,18200844,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802791.6500027,1,2,106716,106607,9146918,9136918,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802791.6500027,1,3,106470,106704,9124418,9144982,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
