ts,dpid,port,rx_packets,tx_packets,rx_bytes,tx_bytes,rx_dropped,tx_dropped,rx_errors,tx_errors,rx_rate_bps,tx_rate_bps,rx_rate_mbps,tx_rate_mbps,loss_pct,err_pct
1762805489.6693058,1,3,50588,50480,4337488,4326634,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762805490.6692939,3,1,52896,53012,4533550,4545072,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762805490.6692939,3,2,53134,52770,4555570,4522732,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762805490.6692939,2,1,370,105302,32392,9027644,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762805490.6692939,2,2,53029,52846,4546264,4528984,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762805490.6692939,2,3,52770,53134,4522732,4555570,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762805490.6692939,1,1,363,105268,31766,9024754,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762805490.6692939,1,2,52846,53029,4528984,4546264,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762805490.6692939,1,3,53012,52896,4545072,4533550,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762805491.6684692,3,1,52896,53012,4533550,4545072,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762805491.6684692,3,2,53134,52770,4555570,4522732,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762805491.6684692,2,1,370,105302,32392,9027644,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762805491.6684692,2,2,53029,52846,4546264,4528984,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762805491.6684692,2,3,52770,53134,4522732,4555570,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762805491.6684692,1,1,363,105268,31766,9024754,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762805491.6684692,1,2,52846,53029,4528984,4546264,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762805491.6684692,1,3,53012,52896,4545072,4533550,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762805492.6692958,3,1,55329,55453,4741904,4754138,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762805492.6692958,3,2,55579,55194,4764980,4730312,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762805492.6692958,2,1,380,110157,33276,9443512,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762805492.6692958,2,2,55471,55272,4755394,4736766,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762805492.6692958,2,3,55194,55579,4730312,4764980,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762805492.6692958,1,1,372,110121,32564,9440476,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762805492.6692958,1,2,55272,55471,4736766,4755394,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762805492.6692958,1,3,55453,55329,4754138,4741904,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
